"","X","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population","ind"
"1",1,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_148",41,1552,1593,0.0257376020087885,24,"F","NR","3B"
"2",2,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_132",48,1880,1928,0.024896265560166,24,"F","NR","3B"
"6",6,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_154",28,1717,1745,0.0160458452722063,24,"F","NR","3B"
"9",9,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_45",0,2012,2012,0,24,"F","NR","3B"
"10",10,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_66",17,1996,2013,0.00844510680576254,24,"F","NR","3B"
"11",11,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_90",0,1988,1988,0,24,"F","NR","3B"
"12",12,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_92",16,1970,1986,0.0080563947633434,24,"F","NR","3B"
"13",13,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_54",4,18530,18534,0.000215819574835438,24,"F","NR","9B"
"14",14,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_65",5,18540,18545,0.000269614451334592,24,"F","NR","9B"
"15",15,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_151",32,1710,1742,0.0183696900114811,24,"F","NR","3B"
"16",16,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_157",54,1691,1745,0.030945558739255,24,"F","NR","3B"
"17",17,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_160",1,1744,1745,0.000573065902578797,24,"F","NR","3B"
"18",18,"A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_165",59,1685,1744,0.0338302752293578,24,"F","NR","3B"
"34",36,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_33",73,510,583,0.125214408233276,24,"F","NR","3B"
"35",37,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_49",60,530,590,0.101694915254237,24,"F","NR","3B"
"36",38,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_73",65,525,590,0.110169491525424,24,"F","NR","3B"
"37",39,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_92",256,335,591,0.433164128595601,24,"F","NR","3B"
"38",40,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_95",28,563,591,0.0473773265651438,24,"F","NR","3B"
"39",41,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_113",400,181,581,0.688468158347676,24,"F","NR","3B"
"46",48,"A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_27",42,541,583,0.072041166380789,24,"F","NR","3B"
"54",56,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_71",2,18536,18538,0.000107886503398425,24,"F","NR","9B"
"55",57,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_74",6,18539,18545,0.00032353734160151,24,"F","NR","9B"
"61",64,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_29",4,18422,18426,0.000217084554433952,24,"F","NR","9B"
"72",78,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_36",8,18427,18435,0.00043395714673176,24,"F","NR","9B"
"73",79,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_49",3,18525,18528,0.000161917098445596,24,"F","NR","9B"
"74",80,"A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_51",6,18508,18514,0.000324079075294372,24,"F","NR","9B"
"75",81,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_45",525,15049,15574,0.0337100295364068,24,"F","NR","3B"
"76",83,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_26",2205,13547,15752,0.139982224479431,24,"F","NR","3B"
"77",84,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_37",562,15220,15782,0.0356101888227094,24,"F","NR","3B"
"78",85,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_81",405,15265,15670,0.0258455647734525,24,"F","NR","3B"
"79",86,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_48",781,14997,15778,0.0494993028267207,24,"F","NR","3B"
"80",87,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_51",1112,14672,15784,0.0704510897110999,24,"F","NR","3B"
"81",88,"A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_57",346,15437,15783,0.0219223214851422,24,"F","NR","3B"
