"","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population"
"1","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_148",41,1552,1593,0.0257376020087885,24,"F","NR"
"2","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_132",48,1880,1928,0.024896265560166,24,"F","NR"
"3","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_96",0,535,535,0,24,"F","NR"
"4","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_83",5,528,533,0.00938086303939963,24,"F","NR"
"5","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_85",7,527,534,0.0131086142322097,24,"F","NR"
"6","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_154",28,1717,1745,0.0160458452722063,24,"F","NR"
"7","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_101",2,531,533,0.00375234521575985,24,"F","NR"
"8","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_103",2,533,535,0.00373831775700935,24,"F","NR"
"9","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_45",0,2012,2012,0,24,"F","NR"
"10","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_66",17,1996,2013,0.00844510680576254,24,"F","NR"
"11","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_90",0,1988,1988,0,24,"F","NR"
"12","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_92",16,1970,1986,0.0080563947633434,24,"F","NR"
"13","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_54",4,18530,18534,0.000215819574835438,24,"F","NR"
"14","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_65",5,18540,18545,0.000269614451334592,24,"F","NR"
"15","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_151",32,1710,1742,0.0183696900114811,24,"F","NR"
"16","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_157",54,1691,1745,0.030945558739255,24,"F","NR"
"17","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_160",1,1744,1745,0.000573065902578797,24,"F","NR"
"18","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_165",59,1685,1744,0.0338302752293578,24,"F","NR"
"20","A28","kw98-16","NP","3B","NP_3B_S18_merge.bam","NP_196",9,1549,1558,0.00577663671373556,24,"F","NR"
"22","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_270",167,418,585,0.285470085470085,24,"F","NR"
"23","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_286",66,519,585,0.112820512820513,24,"F","NR"
"24","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_305",13,572,585,0.0222222222222222,24,"F","NR"
